iter	TotalF1	MultiClass
423	0.5973333527	0.873584553
424	0.5973925983	0.8733899303
425	0.5975423426	0.8732234418
426	0.5975627912	0.8731042892
427	0.5975922155	0.8730480854
428	0.5976048226	0.8728963213
429	0.5978815668	0.8727145452
430	0.5978897964	0.8726724839
431	0.5979790909	0.8725754672
432	0.5979058653	0.8724886001
433	0.5979834422	0.8723745876
434	0.5980073107	0.872134656
435	0.598025751	0.8720332734
436	0.5981152295	0.8718993115
437	0.5981035014	0.8717955425
438	0.5982577616	0.8716863624
439	0.5982627157	0.8716040466
440	0.5982532282	0.8714997817
441	0.5982165901	0.8714136108
442	0.5983476331	0.8713068062
443	0.5984605072	0.8711839565
444	0.5984378139	0.871100479
445	0.5984573242	0.8709846561
446	0.5985928045	0.8708755982
447	0.5987482971	0.8706985721
448	0.5987791864	0.8706252947
449	0.5987318743	0.8705563972
450	0.5987930246	0.8704607241
451	0.5988174778	0.8704190178
452	0.5988704889	0.8703413492
453	0.5988728383	0.8702331858
454	0.598939421	0.8701331561
455	0.5989369399	0.8700708404
456	0.5989316136	0.8699658183
457	0.5989571006	0.8698607647
458	0.5989695073	0.8697703424
459	0.599156877	0.8696767887
460	0.5991348115	0.8696389713
461	0.5993825467	0.8695201491
462	0.5993522159	0.8695001647
463	0.5993544342	0.8694496765
464	0.5994454342	0.8693398967
465	0.5993564508	0.8692701719
466	0.5993789288	0.8691755291
467	0.5993637206	0.8691192159
468	0.5995950762	0.8689473465
469	0.5996746095	0.8688301684
470	0.5997838274	0.8687437746
471	0.5997960343	0.8686355688
472	0.5999798289	0.8685481544
473	0.6000844903	0.8684677228
474	0.6000991646	0.8684015211
475	0.6001169427	0.8682921783
476	0.6001234807	0.8682356427
477	0.6000407491	0.8681276044
478	0.6000804103	0.8680047349
479	0.600110984	0.8679488093
480	0.6001841405	0.867849023
481	0.6002021	0.8677442456
482	0.6003272483	0.8676580678
483	0.6003881798	0.8675530105
484	0.6004250699	0.8674816774
485	0.6004169685	0.867392028
486	0.6005367376	0.8673297278
487	0.6006061213	0.8673001356
488	0.6006272617	0.8672317947
489	0.600537542	0.8671611371
490	0.6003760497	0.8670358877
491	0.600406468	0.8669744535
492	0.600510261	0.8668830758
493	0.6006148378	0.8667572017
494	0.6007072587	0.8667038742
495	0.6007520917	0.8666096822
496	0.6008566833	0.8665394972
497	0.6007874404	0.8664368129
498	0.6009157456	0.8663864761
499	0.6010088528	0.8662619386
